asv	coef	trait	date	nitrogen	abs_coef	rank	top1p	top100	Functional_Tax_Group
asv_000095	0.000650144445477293	MGR	Sept5	overall	0.000650144445477293	3	1	1	Acinetobacter nosocomialis
asv_000095	0.000676251968937823	VARI	Sept5	overall	0.000676251968937823	3	1	1	Acinetobacter nosocomialis
asv_000105	-0.000176079998669558	RGB	Sept5	overall	0.000176079998669558	27	1	1	Sphingobium herbicidovorans 2
asv_000105	-9.88262715991144e-05	GLI	Sept5	overall	9.88262715991144e-05	31	1	1	Sphingobium herbicidovorans 2
asv_000105	-0.000126083287970125	ExG	Sept5	overall	0.000126083287970125	28	1	1	Sphingobium herbicidovorans 2
asv_000107	0.0002170303786828	NGR	Sept5	overall	0.0002170303786828	26	1	1	Acinetobacter nosocomialis
asv_000107	0.000458452407793667	VARI	Sept5	overall	0.000458452407793667	20	1	1	Acinetobacter nosocomialis
asv_000107	0.000434010321587784	MGR	Sept5	overall	0.000434010321587784	26	1	1	Acinetobacter nosocomialis
asv_000115	-0.000215367550939164	RGB	Sept5	overall	0.000215367550939164	8	1	1	Dyella jiangningensis
asv_000115	-0.000124799533252537	GLI	Sept5	overall	0.000124799533252537	9	1	1	Dyella jiangningensis
asv_000115	-0.000542991954922656	VARI	Sept5	overall	0.000542991954922656	9	1	1	Dyella jiangningensis
asv_000115	-0.000155348162647205	ExG	Sept5	overall	0.000155348162647205	9	1	1	Dyella jiangningensis
asv_000115	-0.000273187370202677	NGR	Sept5	overall	0.000273187370202677	7	1	1	Dyella jiangningensis
asv_000115	-0.000548322485036715	MGR	Sept5	overall	0.000548322485036715	7	1	1	Dyella jiangningensis
asv_000119	-0.00020830596838744	NGR	Sept5	overall	0.00020830596838744	33	1	1	Dyella jiangningensis
asv_000119	-0.000413013520834302	VARI	Sept5	overall	0.000413013520834302	35	1	1	Dyella jiangningensis
asv_000119	-0.000124430427204994	ExG	Sept5	overall	0.000124430427204994	30	1	1	Dyella jiangningensis
asv_000119	-9.99171131307153e-05	GLI	Sept5	overall	9.99171131307153e-05	28	1	1	Dyella jiangningensis
asv_000119	-0.000417748314531186	MGR	Sept5	overall	0.000417748314531186	33	1	1	Dyella jiangningensis
asv_000119	-0.000173116040160457	RGB	Sept5	overall	0.000173116040160457	30	1	1	Dyella jiangningensis
asv_000131	0.000204919339517627	NGR	Sept5	overall	0.000204919339517627	36	1	1	Acinetobacter nosocomialis
asv_000131	0.000424306153265242	VARI	Sept5	overall	0.000424306153265242	31	1	1	Acinetobacter nosocomialis
asv_000133	-0.000717081761820726	VARI	Aug22	overall	0.000717081761820726	35	1	1	Acinetobacter nosocomialis
asv_000133	-0.000590191844206919	RGB	Aug22	overall	0.000590191844206919	18	1	1	Acinetobacter nosocomialis
asv_000133	-0.000447702596966028	ExG	Aug22	overall	0.000447702596966028	18	1	1	Acinetobacter nosocomialis
asv_000133	-0.000435265331509692	NGR	Aug22	overall	0.000435265331509692	31	1	1	Acinetobacter nosocomialis
asv_000133	-0.000830338111443257	MGR	Aug22	overall	0.000830338111443257	32	1	1	Acinetobacter nosocomialis
asv_000133	-0.00027968391989868	GLI	Aug22	overall	0.00027968391989868	17	1	1	Acinetobacter nosocomialis
asv_000144	-0.000119710594291523	ExG	Sept5	overall	0.000119710594291523	35	1	1	Dyella jiangningensis
asv_000153	-0.000266581364516128	NGR	Sept5	overall	0.000266581364516128	9	1	1	Dyella jiangningensis
asv_000153	-0.000521114931262928	VARI	Sept5	overall	0.000521114931262928	11	1	1	Dyella jiangningensis
asv_000153	-0.000158442885185535	ExG	Sept5	overall	0.000158442885185535	7	1	1	Dyella jiangningensis
asv_000153	-0.000126406894505864	GLI	Sept5	overall	0.000126406894505864	6	1	1	Dyella jiangningensis
asv_000153	-0.000219269125726773	RGB	Sept5	overall	0.000219269125726773	6	1	1	Dyella jiangningensis
asv_000153	-0.000534668519735801	MGR	Sept5	overall	0.000534668519735801	9	1	1	Dyella jiangningensis
asv_000154	-0.000209127544828318	NGR	Sept5	overall	0.000209127544828318	31	1	1	Dyella jiangningensis
asv_000154	-0.000418530570992722	MGR	Sept5	overall	0.000418530570992722	32	1	1	Dyella jiangningensis
asv_000154	-0.000119853687537293	ExG	Sept5	overall	0.000119853687537293	33	1	1	Dyella jiangningensis
asv_000155	0.00183516604448962	VARI	Aug12	overall	0.00183516604448962	6	1	1	Mucilaginibacter gossypii
asv_000155	0.000847385611277527	VARI	Aug22	overall	0.000847385611277527	16	1	1	Mucilaginibacter gossypii
asv_000155	0.0020552937870437	MGR	Aug12	overall	0.0020552937870437	9	1	1	Mucilaginibacter gossypii
asv_000155	0.000969272330735664	MGR	Aug22	overall	0.000969272330735664	13	1	1	Mucilaginibacter gossypii
asv_000155	0.000386458705372046	ExG	Aug22	overall	0.000386458705372046	32	1	1	Mucilaginibacter gossypii
asv_000155	0.00103552399292379	NGR	Aug12	overall	0.00103552399292379	9	1	1	Mucilaginibacter gossypii
asv_000155	0.000512089013979886	NGR	Aug22	overall	0.000512089013979886	11	1	1	Mucilaginibacter gossypii
asv_000155	-0.148008701148206	Woebbecke	Aug22	overall	0.148008701148206	3	1	1	Mucilaginibacter gossypii
asv_000167	0.0135859105358841	VEG	Sept5	overall	0.0135859105358841	15	1	1	Acinetobacter nosocomialis
asv_000174	-0.000165129348200684	RGB	Sept5	overall	0.000165129348200684	36	1	1	Burkholderia vietnamiensis
asv_000183	0.00116248422194781	RGB	Aug12	overall	0.00116248422194781	7	1	1	Bacillus fumarioli
asv_000183	0.000634623420285664	GLI	Aug12	overall	0.000634623420285664	11	1	1	Bacillus fumarioli
asv_000183	0.000874449221721679	ExG	Aug12	overall	0.000874449221721679	8	1	1	Bacillus fumarioli
asv_000183	-0.0178878757952226	VEG	Aug22	overall	0.0178878757952226	5	1	1	Bacillus fumarioli
asv_000183	0.00083154397755684	NGR	Aug12	overall	0.00083154397755684	36	1	1	Bacillus fumarioli
asv_000183	-0.129730881784189	Woebbecke	Aug12	overall	0.129730881784189	17	1	1	Bacillus fumarioli
asv_000189	0.00190377436239684	MGR	Aug12	overall	0.00190377436239684	15	1	1	TM7a sp 2
asv_000189	0.000661199240964031	RGB	Aug22	overall	0.000661199240964031	8	1	1	TM7a sp 2
asv_000189	0.000317812479176218	GLI	Aug22	overall	0.000317812479176218	7	1	1	TM7a sp 2
asv_000189	0.00044331242737271	NGR	Aug22	overall	0.00044331242737271	29	1	1	TM7a sp 2
asv_000189	0.00157728568404884	VARI	Aug12	overall	0.00157728568404884	24	1	1	TM7a sp 2
asv_000189	0.00101211789280265	RGB	Aug12	overall	0.00101211789280265	21	1	1	TM7a sp 2
asv_000189	0.000497163383981337	ExG	Aug22	overall	0.000497163383981337	8	1	1	TM7a sp 2
asv_000189	0.00056775481303414	GLI	Aug12	overall	0.00056775481303414	22	1	1	TM7a sp 2
asv_000189	0.000785204284706599	ExG	Aug12	overall	0.000785204284706599	18	1	1	TM7a sp 2
asv_000189	0.000850122375584146	MGR	Aug22	overall	0.000850122375584146	28	1	1	TM7a sp 2
asv_000189	0.000962469233656543	NGR	Aug12	overall	0.000962469233656543	15	1	1	TM7a sp 2
asv_000191	0.000591701778983335	RGB	Aug22	overall	0.000591701778983335	17	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.00050980462087426	NGR	Aug22	overall	0.00050980462087426	12	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000251312968248602	RGB	Sept5	overall	0.000251312968248602	3	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000487204470052269	MGR	Sept5	overall	0.000487204470052269	15	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000868532117817421	VARI	Aug22	overall	0.000868532117817421	12	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000452956198178457	ExG	Aug22	overall	0.000452956198178457	17	1	1	Candidatus Udaeobacter copiosus
asv_000191	-0.0432193666919576	Woebbecke	Sept5	overall	0.0432193666919576	27	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000977956521633466	MGR	Aug22	overall	0.000977956521633466	11	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000184511274740135	ExG	Sept5	overall	0.000184511274740135	2	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000241409273437599	NGR	Sept5	overall	0.000241409273437599	15	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000147976028139801	GLI	Sept5	overall	0.000147976028139801	3	1	1	Candidatus Udaeobacter copiosus
asv_000191	0.000290751185862104	GLI	Aug22	overall	0.000290751185862104	13	1	1	Candidatus Udaeobacter copiosus
asv_000200	-0.000491168804101388	MGR	Sept5	overall	0.000491168804101388	14	1	1	Dyella jiangningensis
asv_000200	-0.000159839472698633	ExG	Sept5	overall	0.000159839472698633	6	1	1	Dyella jiangningensis
asv_000200	-0.000455499436235477	VARI	Sept5	overall	0.000455499436235477	21	1	1	Dyella jiangningensis
asv_000200	-0.000219143155683302	RGB	Sept5	overall	0.000219143155683302	7	1	1	Dyella jiangningensis
asv_000200	-0.000245267109798691	NGR	Sept5	overall	0.000245267109798691	14	1	1	Dyella jiangningensis
asv_000200	-0.000124824400438453	GLI	Sept5	overall	0.000124824400438453	8	1	1	Dyella jiangningensis
asv_000200	0.0467259242625052	Woebbecke	Sept5	overall	0.0467259242625052	16	1	1	Dyella jiangningensis
asv_000214	0.0121934298519443	VEG	Sept5	overall	0.0121934298519443	25	1	1	Chitinophaga arvensicola
asv_000241	0.000259991469285729	ExG	Sept5	overall	0.000259991469285729	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.000916457840405016	VARI	Sept5	overall	0.000916457840405016	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.000497548414080068	NGR	Aug22	overall	0.000497548414080068	17	1	1	Sphingomonas limnosediminicola
asv_000241	0.000215514247609312	GLI	Sept5	overall	0.000215514247609312	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.000367682214089846	RGB	Sept5	overall	0.000367682214089846	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.000930127036259285	MGR	Sept5	overall	0.000930127036259285	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.000610479701341259	RGB	Aug22	overall	0.000610479701341259	13	1	1	Sphingomonas limnosediminicola
asv_000241	0.000455402614075446	ExG	Aug22	overall	0.000455402614075446	16	1	1	Sphingomonas limnosediminicola
asv_000241	0.0137355962095243	VEG	Sept5	overall	0.0137355962095243	14	1	1	Sphingomonas limnosediminicola
asv_000241	-0.0964682186310851	Woebbecke	Sept5	overall	0.0964682186310851	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.000460363385553971	NGR	Sept5	overall	0.000460363385553971	1	1	1	Sphingomonas limnosediminicola
asv_000241	0.00084531545244902	VARI	Aug22	overall	0.00084531545244902	17	1	1	Sphingomonas limnosediminicola
asv_000241	0.000279808487375445	GLI	Aug22	overall	0.000279808487375445	16	1	1	Sphingomonas limnosediminicola
asv_000241	0.000942647551815097	MGR	Aug22	overall	0.000942647551815097	17	1	1	Sphingomonas limnosediminicola
asv_000246	-0.00186927271963134	MGR	Aug12	overall	0.00186927271963134	18	1	1	Labrys miyagiensis
asv_000246	-0.000941273462375002	NGR	Aug12	overall	0.000941273462375002	18	1	1	Labrys miyagiensis
asv_000246	-0.0135442326844198	VEG	Sept5	overall	0.0135442326844198	16	1	1	Labrys miyagiensis
asv_000246	-0.001630916703081	VARI	Aug12	overall	0.001630916703081	18	1	1	Labrys miyagiensis
asv_000251	0.00125243567530027	RGB	Aug12	overall	0.00125243567530027	5	1	1	Dyella marensis
asv_000251	0.000922001841618904	MGR	Aug22	overall	0.000922001841618904	20	1	1	Dyella marensis
asv_000251	0.00104751139753468	NGR	Aug12	overall	0.00104751139753468	7	1	1	Dyella marensis
asv_000251	-0.138675556832821	Woebbecke	Aug22	overall	0.138675556832821	7	1	1	Dyella marensis
asv_000251	0.00207716549516291	MGR	Aug12	overall	0.00207716549516291	7	1	1	Dyella marensis
asv_000251	0.000935386683793565	ExG	Aug12	overall	0.000935386683793565	5	1	1	Dyella marensis
asv_000251	0.000325421204676471	GLI	Aug22	overall	0.000325421204676471	6	1	1	Dyella marensis
asv_000251	0.00175934427817878	VARI	Aug12	overall	0.00175934427817878	9	1	1	Dyella marensis
asv_000251	0.000702934962376082	GLI	Aug12	overall	0.000702934962376082	5	1	1	Dyella marensis
asv_000251	0.000487067426578242	NGR	Aug22	overall	0.000487067426578242	20	1	1	Dyella marensis
asv_000251	-0.0615659833027341	Woebbecke	Sept5	overall	0.0615659833027341	3	1	1	Dyella marensis
asv_000251	0.000717097929412925	RGB	Aug22	overall	0.000717097929412925	3	1	1	Dyella marensis
asv_000251	0.000537148199538032	ExG	Aug22	overall	0.000537148199538032	4	1	1	Dyella marensis
asv_000251	-0.155950612014437	Woebbecke	Aug12	overall	0.155950612014437	7	1	1	Dyella marensis
asv_000251	0.000783005423920513	VARI	Aug22	overall	0.000783005423920513	26	1	1	Dyella marensis
asv_000259	0.0144875731550907	VEG	Sept5	overall	0.0144875731550907	10	1	1	Chitinophaga eiseniae
asv_000274	-0.045676199024583	Woebbecke	Sept5	overall	0.045676199024583	19	1	1	Bacillus fumarioli
asv_000278	0.000673559468061105	RGB	Aug22	overall	0.000673559468061105	7	1	1	Pseudomonas parafulva
asv_000278	0.00030921475522285	GLI	Aug22	overall	0.00030921475522285	9	1	1	Pseudomonas parafulva
asv_000278	0.00022853412665881	RGB	Sept5	overall	0.00022853412665881	5	1	1	Pseudomonas parafulva
asv_000278	-0.117677638984715	Woebbecke	Aug22	overall	0.117677638984715	23	1	1	Pseudomonas parafulva
asv_000278	0.000992669374943529	NGR	Aug12	overall	0.000992669374943529	12	1	1	Pseudomonas parafulva
asv_000278	0.0013407726083285	RGB	Aug12	overall	0.0013407726083285	3	1	1	Pseudomonas parafulva
asv_000278	-0.134157909179552	Woebbecke	Aug12	overall	0.134157909179552	11	1	1	Pseudomonas parafulva
asv_000278	0.000868413250448059	MGR	Aug22	overall	0.000868413250448059	27	1	1	Pseudomonas parafulva
asv_000278	0.000457965611038931	NGR	Aug22	overall	0.000457965611038931	25	1	1	Pseudomonas parafulva
asv_000278	-0.0539061767278285	Woebbecke	Sept5	overall	0.0539061767278285	5	1	1	Pseudomonas parafulva
asv_000278	0.000449713153648194	VARI	Sept5	overall	0.000449713153648194	23	1	1	Pseudomonas parafulva
asv_000278	0.000514770041542344	ExG	Aug22	overall	0.000514770041542344	7	1	1	Pseudomonas parafulva
asv_000278	0.000130185123532087	GLI	Sept5	overall	0.000130185123532087	5	1	1	Pseudomonas parafulva
asv_000278	0.00077445403288536	GLI	Aug12	overall	0.00077445403288536	3	1	1	Pseudomonas parafulva
asv_000278	0.000239002560102968	NGR	Sept5	overall	0.000239002560102968	20	1	1	Pseudomonas parafulva
asv_000278	0.000480104830001948	MGR	Sept5	overall	0.000480104830001948	20	1	1	Pseudomonas parafulva
asv_000278	0.00155601720702439	VARI	Aug12	overall	0.00155601720702439	26	1	1	Pseudomonas parafulva
asv_000278	0.0019627090814505	MGR	Aug12	overall	0.0019627090814505	12	1	1	Pseudomonas parafulva
asv_000278	0.000720020731213172	VARI	Aug22	overall	0.000720020731213172	34	1	1	Pseudomonas parafulva
asv_000278	0.00103185937854879	ExG	Aug12	overall	0.00103185937854879	3	1	1	Pseudomonas parafulva
asv_000278	0.000161907570284385	ExG	Sept5	overall	0.000161907570284385	5	1	1	Pseudomonas parafulva
asv_000280	0.119956704073966	Woebbecke	Aug12	overall	0.119956704073966	25	1	1	Labrys miyagiensis
asv_000287	0.000555394868946927	GLI	Aug12	overall	0.000555394868946927	27	1	1	Bacillus fumarioli
asv_000287	-0.121891687840352	Woebbecke	Aug12	overall	0.121891687840352	21	1	1	Bacillus fumarioli
asv_000287	0.000757348821420822	ExG	Aug12	overall	0.000757348821420822	21	1	1	Bacillus fumarioli
asv_000287	0.00100005943380798	RGB	Aug12	overall	0.00100005943380798	23	1	1	Bacillus fumarioli
asv_000292	-0.00167215947901588	VARI	Aug12	overall	0.00167215947901588	16	1	1	Massilia putida
asv_000292	-0.0018268445301273	MGR	Aug12	overall	0.0018268445301273	23	1	1	Massilia putida
asv_000292	-0.000919599397191234	NGR	Aug12	overall	0.000919599397191234	23	1	1	Massilia putida
asv_000295	0.000413058851612416	VARI	Sept5	overall	0.000413058851612416	34	1	1	Chitinophaga arvensicola
asv_000297	0.000691674310542739	RGB	Aug22	overall	0.000691674310542739	6	1	1	Sphingomonas limnosediminicola
asv_000297	0.00052213448901519	ExG	Aug22	overall	0.00052213448901519	6	1	1	Sphingomonas limnosediminicola
asv_000297	0.00109435641251793	MGR	Aug22	overall	0.00109435641251793	5	1	1	Sphingomonas limnosediminicola
asv_000297	0.000568668381022645	NGR	Aug22	overall	0.000568668381022645	5	1	1	Sphingomonas limnosediminicola
asv_000297	0.000966354312523028	VARI	Aug22	overall	0.000966354312523028	6	1	1	Sphingomonas limnosediminicola
asv_000297	0.000483658366389943	MGR	Sept5	overall	0.000483658366389943	18	1	1	Sphingomonas limnosediminicola
asv_000297	0.000239674255380785	NGR	Sept5	overall	0.000239674255380785	18	1	1	Sphingomonas limnosediminicola
asv_000297	-0.048417042287086	Woebbecke	Sept5	overall	0.048417042287086	13	1	1	Sphingomonas limnosediminicola
asv_000297	0.000330857290762924	GLI	Aug22	overall	0.000330857290762924	4	1	1	Sphingomonas limnosediminicola
asv_000297	0.000464349222765227	VARI	Sept5	overall	0.000464349222765227	17	1	1	Sphingomonas limnosediminicola
asv_000297	0.000112961744698831	GLI	Sept5	overall	0.000112961744698831	19	1	1	Sphingomonas limnosediminicola
asv_000297	0.000138326610480414	ExG	Sept5	overall	0.000138326610480414	19	1	1	Sphingomonas limnosediminicola
asv_000297	0.000193754405298798	RGB	Sept5	overall	0.000193754405298798	19	1	1	Sphingomonas limnosediminicola
asv_000310	-0.115616056023101	Woebbecke	Aug22	overall	0.115616056023101	27	1	1	Mucilaginibacter gossypii
asv_000311	0.000559786686739181	MGR	Sept5	overall	0.000559786686739181	6	1	1	Microbacterium testaceum
asv_000311	0.000131600382183114	ExG	Sept5	overall	0.000131600382183114	21	1	1	Microbacterium testaceum
asv_000311	0.000693989400817548	RGB	Aug22	overall	0.000693989400817548	5	1	1	Microbacterium testaceum
asv_000311	0.000108458310239801	GLI	Sept5	overall	0.000108458310239801	20	1	1	Microbacterium testaceum
asv_000311	0.00118233285268582	RGB	Aug12	overall	0.00118233285268582	6	1	1	Microbacterium testaceum
asv_000311	0.000516138951510089	NGR	Aug22	overall	0.000516138951510089	10	1	1	Microbacterium testaceum
asv_000311	0.00100018210756192	MGR	Aug22	overall	0.00100018210756192	10	1	1	Microbacterium testaceum
asv_000311	0.000887960752657295	ExG	Aug12	overall	0.000887960752657295	6	1	1	Microbacterium testaceum
asv_000311	0.000334411526256018	GLI	Aug22	overall	0.000334411526256018	3	1	1	Microbacterium testaceum
asv_000311	0.000863050771253786	VARI	Aug22	overall	0.000863050771253786	14	1	1	Microbacterium testaceum
asv_000311	0.000660252808131719	GLI	Aug12	overall	0.000660252808131719	8	1	1	Microbacterium testaceum
asv_000311	0.000566303836022071	VARI	Sept5	overall	0.000566303836022071	6	1	1	Microbacterium testaceum
asv_000311	0.000179963050542178	RGB	Sept5	overall	0.000179963050542178	23	1	1	Microbacterium testaceum
asv_000311	0.000523580925089076	ExG	Aug22	overall	0.000523580925089076	5	1	1	Microbacterium testaceum
asv_000311	0.00181448083111929	MGR	Aug12	overall	0.00181448083111929	25	1	1	Microbacterium testaceum
asv_000311	0.00155191495029668	VARI	Aug12	overall	0.00155191495029668	28	1	1	Microbacterium testaceum
asv_000311	0.000279129650604816	NGR	Sept5	overall	0.000279129650604816	6	1	1	Microbacterium testaceum
asv_000311	0.000916042189705853	NGR	Aug12	overall	0.000916042189705853	25	1	1	Microbacterium testaceum
asv_000314	0.0139365300781345	VEG	Aug22	overall	0.0139365300781345	33	1	1	Pantoea ananatis
asv_000321	0.0215819008988383	VEG	Aug12	overall	0.0215819008988383	3	1	1	Pseudoduganella
asv_000322	0.0514754080594858	Woebbecke	Sept5	overall	0.0514754080594858	7	1	1	Kribbella karoonensis
asv_000323	0.0548757393067833	Woebbecke	Sept5	overall	0.0548757393067833	4	1	1	Sphingoaurantiacus
asv_000323	0.12121210752113	Woebbecke	Aug12	overall	0.12121210752113	22	1	1	Sphingoaurantiacus
asv_000327	0.0424776354233151	Woebbecke	Sept5	overall	0.0424776354233151	31	1	1	Labrys miyagiensis
asv_000327	-9.69758217266577e-05	GLI	Sept5	overall	9.69758217266577e-05	35	1	1	Labrys miyagiensis
asv_000327	-0.00145060765243884	VARI	Aug12	overall	0.00145060765243884	35	1	1	Labrys miyagiensis
asv_000327	-0.000165337314202923	RGB	Sept5	overall	0.000165337314202923	35	1	1	Labrys miyagiensis
asv_000328	0.0183728672811511	VEG	Sept5	overall	0.0183728672811511	1	1	1	Microbacterium testaceum
asv_000337	-0.0187875473833948	VEG	Aug22	overall	0.0187875473833948	4	1	1	Candidatus Udaeobacter copiosus
asv_000337	-0.123645003867037	Woebbecke	Aug22	overall	0.123645003867037	18	1	1	Candidatus Udaeobacter copiosus
